tau,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.4,0.4
rho,2,3,4,2,3,4,2,3,4
cell_id,,,,,,,,,
M1,0.513,0.407,0.073,0.427,0.34,0.067,0.167,0.133,0.053
M2,0.613,0.54,0.027,0.46,0.407,0.013,0.04,0.04,0.0
M3,0.78,0.7,0.14,0.52,0.46,0.053,0.053,0.053,0.0
M4,0.799,0.732,0.228,0.591,0.523,0.121,0.235,0.215,0.054
M5,0.685,0.537,0.081,0.557,0.423,0.06,0.228,0.188,0.04
M6,0.752,0.671,0.121,0.537,0.463,0.04,0.087,0.074,0.007
H1,0.705,0.636,0.068,0.466,0.443,0.023,0.045,0.045,0.0
H2,0.649,0.541,0.095,0.432,0.378,0.054,0.054,0.041,0.0
H3,0.542,0.492,0.136,0.407,0.407,0.102,0.102,0.102,0.034
H4,0.773,0.667,0.16,0.52,0.44,0.067,0.053,0.04,0.013
H5,0.554,0.5,0.135,0.392,0.365,0.081,0.216,0.189,0.054
H6,0.72,0.653,0.16,0.44,0.387,0.08,0.067,0.04,0.013
H7,0.784,0.716,0.189,0.527,0.486,0.081,0.041,0.041,0.0
H8,0.8,0.72,0.28,0.587,0.52,0.12,0.173,0.133,0.013
H9,0.827,0.733,0.227,0.52,0.427,0.08,0.04,0.04,0.013
H10,0.707,0.627,0.227,0.573,0.52,0.16,0.133,0.12,0.067
H11,0.773,0.667,0.093,0.427,0.36,0.013,0.053,0.027,0.0
N1,0.387,0.267,0.08,0.293,0.2,0.053,0.08,0.067,0.027
N2,,,,,,,,,
N3,,,,,,,,,
