cell_id,both_agree_valid,both_agree_invalid,false_closure_candidate,metric_false_negative,structural_NA,n_rows,false_closure_pct,metric_fn_pct
H1,56,3,20,9,0,88,22.7,10.2
H10,47,4,20,4,0,75,26.7,5.3
H11,50,0,15,10,0,75,20.0,13.3
H2,40,3,22,9,1,75,29.3,12.0
H3,29,3,18,9,16,75,24.0,12.0
H4,50,1,17,7,0,75,22.7,9.3
H5,37,8,23,6,1,75,30.7,8.0
H6,49,0,14,12,0,75,18.7,16.0
H7,53,0,13,8,0,74,17.6,10.8
H8,54,2,14,5,0,75,18.7,6.7
H9,55,0,12,8,0,75,16.0,10.7
M1,61,11,68,10,0,150,45.3,6.7
M2,81,6,47,16,0,150,31.3,10.7
M3,105,1,27,17,0,150,18.0,11.3
M4,109,0,27,13,1,150,18.0,8.7
M5,80,5,51,13,1,150,34.0,8.7
M6,100,1,36,12,1,150,24.0,8.0
N1,20,14,36,5,0,75,48.0,6.7
N2,0,0,0,0,75,75,0.0,0.0
N3,0,0,0,0,75,75,0.0,0.0
